"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"1",1,1,"Jeff Bezos","Bezos","jeff-bezos","jeff-bezos",112000,54,"Amazon","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097",112
"2",2,2,"Bill Gates","Gates","bill-gates","bill-gates",90000,62,"Microsoft","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360",90
"3",3,3,"Warren Buffett","Buffett","warren-buffett","warren-buffett",84000,87,"Berkshire Hathaway","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322",84
"4",4,4,"Bernard Arnault","Arnault","bernard-arnault","bernard-arnault",72000,69,"LVMH","Fashion & Retail","M","France","//specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736",72
"5",5,5,"Mark Zuckerberg","Zuckerberg","mark-zuckerberg","mark-zuckerberg",71000,33,"Facebook","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044",71
"6",6,6,"Amancio Ortega","Ortega","amancio-ortega","amancio-ortega",70000,81,"Zara","Fashion & Retail","M","Spain","//specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019",70
"7",7,7,"Carlos Slim Helu","Slim Helu","carlos-slim-helu","carlos-slim-helu",67100,78,"telecom","Telecom","M","Mexico","//specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990",67.1
"8",8,8,"Charles Koch","Koch","charles-koch","charles-koch",60000,82,"Koch Industries","Diversified","M","United States","//specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797",60
"9",9,8,"David Koch","Koch","david-koch","david-koch",60000,77,"Koch Industries","Diversified","M","United States","//specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481",60
"10",10,10,"Larry Ellison","Ellison","larry-ellison","larry-ellison",58500,73,"software","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198",58.5
"11",11,11,"Michael Bloomberg","Bloomberg","michael-bloomberg","michael-bloomberg",50000,76,"Bloomberg LP","Media & Entertainment","M","United States","//specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784",50
"12",12,12,"Larry Page","Page","larry-page","larry-page",48800,44,"Google","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950",48.8
"13",13,13,"Sergey Brin","Brin","sergey-brin","sergey-brin",47500,44,"Google","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695",47.5
"14",14,14,"Jim Walton","Walton","jim-walton","jim-walton",46400,69,"Walmart","Fashion & Retail","M","United States","//specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441",46.4
"15",15,15,"S. Robson Walton","Walton","s-robson-walton","s-robson-walton",46200,73,"Walmart","Fashion & Retail","M","United States","//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791",46.2
"16",16,16,"Alice Walton","Walton","alice-walton","alice-walton",46000,68,"Walmart","Fashion & Retail","F","United States","//specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143",46
"17",17,17,"Ma Huateng","Ma","ma-huateng","ma-huateng",45300,46,"internet media","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832",45.3
"18",18,18,"Francoise Bettencourt Meyers","Bettencourt Meyers","francoise-bettencourt-meyers","no-pic-female",42200,64,"L'Oreal","Fashion & Retail","F","France","//specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849",42.2
"19",19,19,"Mukesh Ambani","Ambani","mukesh-ambani","mukesh-ambani",40100,60,"petrochemicals, oil & gas","Energy","M","India","//specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223",40.1
"20",20,20,"Jack Ma","Ma","jack-ma","jack-ma",39000,53,"e-commerce","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a7cbb59a7ea4316901307cc/416x416.jpg?background=000000&cropX1=714&cropX2=2067&cropY1=4&cropY2=1358",39
"21",21,21,"Sheldon Adelson","Adelson","sheldon-adelson","sheldon-adelson",38500,84,"casinos","Gambling & Casinos","M","United States","//specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362",38.5
"22",22,22,"Steve Ballmer","Ballmer","steve-ballmer","steve-ballmer",38400,61,"Microsoft","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617",38.4
"23",23,23,"Li Ka-shing","Li","li-ka-shing","li-ka-shing",34900,89,"diversified","Diversified","M","Hong Kong","//specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661",34.9
"24",24,24,"Hui Ka Yan","Hui","hui-ka-yan","hui-ka-yan",30300,59,"real estate","Real Estate","M","China","//specials-images.forbesimg.com/imageserve/5a7cba90a7ea4316901307b7/416x416.jpg?background=000000&cropX1=597&cropX2=3371&cropY1=12&cropY2=2784",30.3
"25",25,24,"Lee Shau Kee","Lee","lee-shau-kee","lee-shau-kee",30300,90,"real estate","Real Estate","M","Hong Kong","//specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082",30.3
"26",26,26,"Wang Jianlin","Wang","wang-jianlin","wang-jianlin",30000,63,"real estate","Real Estate","M","China","//specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280",30
"27",27,27,"Beate Heister & Karl Albrecht Jr.","Albrecht Jr.","beate-heister-karl-albrecht-jr","no-pic",29800,66,"supermarkets","Fashion & Retail","unknown","Germany","//specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340",29.8
"28",28,28,"Phil Knight","Knight","phil-knight","phil-knight",29600,80,"Nike","Fashion & Retail","M","United States","//specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972",29.6
"29",29,29,"Jorge Paulo Lemann","Lemann","jorge-paulo-lemann","jorge-paulo-lemann",27400,78,"beer","Food and Beverage","M","Brazil","//specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667",27.4
"30",30,30,"Francois Pinault","Pinault","francois-pinault","francois-pinault",27000,81,"luxury goods","Fashion & Retail","M","France","//specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866",27
"31",31,31,"Georg Schaeffler","Schaeffler","georg-schaeffler","georg-schaeffler",25300,53,"auto parts","Automotive","M","Germany","//specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042",25.3
"32",32,32,"Susanne Klatten","Klatten","susanne-klatten","susanne-klatten",25000,55,"BMW, pharmaceuticals","Automotive","F","Germany","//specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236",25
"33",33,32,"David Thomson","Thomson","david-thomson","david-thomson",25000,60,"media","Media & Entertainment","M","Canada","//specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972",25
"34",34,34,"Jacqueline Mars","Mars","jacqueline-mars","jacqueline-mars",23600,78,"candy, pet food","Food and Beverage","F","United States","//specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889",23.6
"35",35,34,"John Mars","Mars","john-mars","no-pic",23600,82,"candy, pet food","Food and Beverage","M","United States",NA,23.6
"36",36,36,"Joseph Safra","Safra","joseph-safra","joseph-safra",23500,79,"banking","Finance and Investments","M","Brazil","http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502",23.5
"37",37,37,"Giovanni Ferrero","Ferrero","giovanni-ferrero","no-pic",23000,53,"Nutella, chocolates","Food and Beverage","M","Italy",NA,23
"38",38,37,"Dietrich Mateschitz","Mateschitz","dietrich-mateschitz","dietrich-mateschitz",23000,73,"Red Bull","Food and Beverage","M","Austria","//specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832",23
"39",39,39,"Michael Dell","Dell","michael-dell","michael-dell",22700,53,"Dell computers","Technology","M","United States","//specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907",22.7
"40",40,39,"Masayoshi Son","Son","masayoshi-son","masayoshi-son",22700,60,"internet, telecom","Telecom","M","Japan","//specials-images.forbesimg.com/imageserve/5a7fb3d531358e4955ad1fdb/416x416.jpg?background=000000&cropX1=1500&cropX2=4200&cropY1=307&cropY2=3005",22.7
"41",41,41,"Serge Dassault","Dassault","serge-dassault","serge-dassault",22600,92,"diversified","Diversified","M","France","//specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816",22.6
"42",42,42,"Stefan Quandt","Quandt","stefan-quandt","stefan-quandt",22000,51,"BMW","Automotive","M","Germany","//specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743",22
"43",43,43,"Yang Huiyan","Yang","yang-huiyan","yang-huiyan",21900,36,"real estate","Real Estate","F","China","//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602",21.9
"44",44,44,"Paul Allen","Allen","paul-allen","paul-allen",21700,65,"Microsoft, investments","Technology","M","United States","http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601",21.7
"45",45,45,"Leonardo Del Vecchio","Del Vecchio","leonardo-del-vecchio","leonardo-del-vecchio",21200,82,"eyeglasses","Fashion & Retail","M","Italy","//specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440",21.2
"46",46,46,"Dieter Schwarz","Schwarz","dieter-schwarz","no-pic",20900,78,"retail","Fashion & Retail","M","Germany",NA,20.9
"47",47,47,"Thomas Peterffy","Peterffy","thomas-peterffy","thomas-peterffy",20300,73,"discount brokerage","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839",20.3
"48",48,48,"Theo Albrecht, Jr.","Albrecht","theo-albrecht-jr","no-pic",20200,67,"Aldi, Trader Joe's","Fashion & Retail","M","Germany",NA,20.2
"49",49,48,"Len Blavatnik","Blavatnik","len-blavatnik","len-blavatnik",20200,60,"diversified","Diversified","M","United States","//specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299",20.2
"50",50,50,"He Xiangjian","He","he-xiangjian","he-xiangjian",20100,75,"home appliances","Manufacturing","M","China","//specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404",20.1
"51",51,50,"Lui Che Woo","Lui","lui-che-woo","lui-che-woo",20100,88,"casinos","Gambling & Casinos","M","Hong Kong","//specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168",20.1
"52",52,52,"James Simons","Simons","james-simons","james-simons",20000,79,"hedge funds","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190",20
"53",53,52,"Henry Sy","Sy","henry-sy","henry-sy",20000,93,"diversified","Diversified","M","Philippines","//specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647",20
"54",54,54,"Elon Musk","Musk","elon-musk","elon-musk",19900,46,"Tesla Motors","Automotive","M","United States","//specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159",19.9
"55",55,55,"Hinduja family","Hinduja","hinduja","hinduja",19500,500,"diversified","Diversified","M","United Kingdom","//specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165",19.5
"56",56,55,"Tadashi Yanai","Yanai","tadashi-yanai","tadashi-yanai",19500,69,"fashion retail","Fashion & Retail","M","Japan","//specials-images.forbesimg.com/imageserve/5a7fb8d64bbe6f2652f534ea/416x416.jpg?background=000000&cropX1=120&cropX2=1521&cropY1=33&cropY2=1435",19.5
"57",57,57,"Vladimir Lisin","Lisin","vladimir-lisin","vladimir-lisin",19100,61,"steel, transport","Metals & Mining","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012",19.1
"58",58,58,"Laurene Powell Jobs","Powell Jobs","laurene-powell-jobs","laurene-powell-jobs",18800,54,"Apple, Disney","Philanthropy/NGO","F","United States","//specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333",18.8
"59",59,58,"Azim Premji","Premji","azim-premji","azim-premji",18800,72,"software services","Technology","M","India","//specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592",18.8
"60",60,60,"Alexey Mordashov","Mordashov","alexey-mordashov","alexey-mordashov",18700,52,"steel, investments","Metals & Mining","M","Russia","//specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667",18.7
"61",61,61,"Lee Kun-Hee","Lee","lee-kun-hee","lee-kun-hee",18600,76,"Samsung","Diversified","M","South Korea","//specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737",18.6
"62",62,62,"Lakshmi Mittal","Mittal","lakshmi-mittal","lakshmi-mittal",18500,67,"steel","Metals & Mining","M","India","//specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359",18.5
"63",63,63,"Wang Wei","Wang","wang-wei","wang-wei",18200,48,"package delivery","Service","M","China","//specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834",18.2
"64",64,64,"Leonid Mikhelson","Mikhelson","leonid-mikhelson","leonid-mikhelson",18000,62,"gas, chemicals","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522",18
"65",65,65,"Charoen Sirivadhanabhakdi","Sirivadhanabhakdi","charoen-sirivadhanabhakdi","charoen-sirivadhanabhakdi",17900,73,"drinks, real estate","Food and Beverage","M","Thailand","//specials-images.forbesimg.com/imageserve/5a813baf31358e4955ad3264/416x416.jpg?background=000000&cropX1=234&cropX2=1535&cropY1=0&cropY2=1301",17.9
"66",66,66,"Pallonji Mistry","Mistry","pallonji-mistry","pallonji-mistry",17800,88,"construction","Construction & Engineering","M","Ireland","//specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744",17.8
"67",67,67,"Ray Dalio","Dalio","ray-dalio","ray-dalio",17700,68,"hedge funds","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/58c1d5374bbe6f0e55884b3e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=60&cropY2=804",17.7
"68",68,68,"Takemitsu Takizaki","Takizaki","takemitsu-takizaki","takemitsu-takizaki",17500,72,"sensors","Manufacturing","M","Japan","//specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=31&cropY2=774",17.5
"69",69,69,"William Ding","Ding","william-ding","william-ding",17400,46,"online games","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063",17.4
"70",70,69,"R. Budi Hartono","Hartono","r-budi-hartono","r-budi-hartono",17400,77,"banking, tobacco","Finance and Investments","M","Indonesia","//specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754",17.4
"71",71,69,"Gina Rinehart","Rinehart","gina-rinehart","gina-rinehart",17400,64,"mining","Metals & Mining","F","Australia","//specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995",17.4
"72",72,72,"German Larrea Mota Velasco","Larrea Mota Velasco","german-larrea-mota-velasco","no-pic",17300,64,"mining","Metals & Mining","M","Mexico","//specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069",17.3
"73",73,73,"Carl Icahn","Icahn","carl-icahn","carl-icahn",16800,82,"investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744",16.8
"74",74,73,"Stefan Persson","Persson","stefan-persson","stefan-persson",16800,70,"H&M","Fashion & Retail","M","Sweden","//specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015",16.8
"75",75,75,"Michael Hartono","Hartono","michael-hartono","no-pic",16700,78,"banking, tobacco","Manufacturing","M","Indonesia",NA,16.7
"76",76,75,"Joseph Lau","Lau","joseph-lau","joseph-lau",16700,66,"real estate","Real Estate","M","Hong Kong","//specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033",16.7
"77",77,77,"Thomas & Raymond Kwok","Kwok","thomas-raymond-kwok","thomas-raymond-kwok",16500,500,"real estate","Real Estate","M","Hong Kong","//specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915",16.5
"78",78,78,"Vagit Alekperov","Alekperov","vagit-alekperov","vagit-alekperov",16400,67,"oil","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658",16.4
"79",79,78,"James Ratcliffe","Ratcliffe","james-ratcliffe","james-ratcliffe",16400,65,"chemicals","Manufacturing","M","United Kingdom","//specials-images.forbesimg.com/imageserve/5a815b254bbe6f2652f547e0/416x416.jpg?background=000000&cropX1=252&cropX2=2046&cropY1=814&cropY2=2608",16.4
"80",80,80,"Donald Bren","Bren","donald-bren","donald-bren",16300,85,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556",16.3
"81",81,80,"Iris Fontbona","Fontbona","iris-fontbona","no-pic-female",16300,75,"mining","Metals & Mining","F","Chile",NA,16.3
"82",82,82,"Gennady Timchenko","Timchenko","gennady-timchenko","gennady-timchenko",16000,65,"oil, gas","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80a596a7ea431690133b09/416x416.jpg?background=000000&cropX1=5&cropX2=2533&cropY1=460&cropY2=2990",16
"83",83,83,"Abigail Johnson","Johnson","abigail-johnson","abigail-johnson",15900,56,"money management","Finance and Investments","F","United States","http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621",15.9
"84",84,83,"Vladimir Potanin","Potanin","vladimir-potanin","vladimir-potanin",15900,57,"metals","Metals & Mining","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181",15.9
"85",85,83,"Lukas Walton","Walton","lukas-walton","no-pic",15900,31,"Walmart","Fashion & Retail","M","United States",NA,15.9
"86",86,86,"Charlene de Carvalho-Heineken","de Carvalho-Heineken","charlene-de-carvalho-heineken","charlene-de-carvalho-heineken",15800,63,"Heineken","Food and Beverage","F","Netherlands","//specials-images.forbesimg.com/imageserve/5a7fd414a7ea4316901331b7/416x416.jpg?background=000000&cropX1=0&cropX2=3280&cropY1=887&cropY2=4168",15.8
"87",87,87,"Zhang Zhidong","Zhang","zhang-zhidong","zhang-zhidong",15600,46,"internet media","Technology","M","China","//specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762",15.6
"88",88,88,"Petr Kellner","Kellner","petr-kellner","petr-kellner",15500,53,"banking","Finance and Investments","M","Czech Republic","//specials-images.forbesimg.com/imageserve/4023ab5df9aad04f544e7dfde9031598/416x416.jpg?background=000000&cropX1=32&cropX2=723&cropY1=3&cropY2=694",15.5
"89",89,88,"Andrey Melnichenko","Melnichenko","andrey-melnichenko","andrey-melnichenko",15500,45,"coal, fertilizers","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a809da44bbe6f2652f53def/416x416.jpg?background=000000&cropX1=651&cropX2=3302&cropY1=6&cropY2=2656",15.5
"90",90,88,"David & Simon Reuben","Reuben","david-simon-reuben","david-simon-reuben",15500,500,"investments, real estate","Real Estate","M","United Kingdom","//specials-images.forbesimg.com/imageserve/58ee56d9a7ea437ada262e00/416x416.jpg?background=000000&cropX1=253&cropX2=1732&cropY1=64&cropY2=1543",15.5
"91",91,91,"Klaus-Michael Kuehne","Kuehne","klaus-michael-kuehne","klaus-michael-kuehne",15300,80,"shipping","Logistics","M","Germany","//specials-images.forbesimg.com/imageserve/5a7e288b31358e4955ad1159/416x416.jpg?background=000000&cropX1=2640&cropX2=4000&cropY1=400&cropY2=1760",15.3
"92",92,91,"Li Shufu","Li","li-shufu","li-shufu",15300,54,"automobiles","Automotive","M","China","//specials-images.forbesimg.com/imageserve/5a7ccad231358e4955acf931/416x416.jpg?background=000000&cropX1=488&cropX2=1703&cropY1=161&cropY2=1377",15.3
"93",93,93,"Mikhail Fridman","Fridman","mikhail-fridman","mikhail-fridman",15100,53,"oil, banking, telecom","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80ac47a7ea431690133b64/416x416.jpg?background=000000&cropX1=534&cropX2=3793&cropY1=7&cropY2=3263",15.1
"94",94,94,"Rupert Murdoch","Murdoch","rupert-murdoch","rupert-murdoch",15000,86,"newspapers, TV network","Media & Entertainment","M","United States","//specials-images.forbesimg.com/imageserve/5a8d934d4bbe6f2652f61c74/416x416.jpg?background=000000&cropX1=0&cropX2=1559&cropY1=81&cropY2=1639",15
"95",95,95,"Dhanin Chearavanont","Chearavanont","dhanin-chearavanont","dhanin-chearavanont",14900,78,"diversified","Diversified","M","Thailand","//specials-images.forbesimg.com/imageserve/58accecd4bbe6f0e55874019/416x416.jpg?background=000000&cropX1=61&cropX2=684&cropY1=226&cropY2=850",14.9
"96",96,96,"Robert Kuok","Kuok","robert-kuok","robert-kuok",14800,94,"palm oil, shipping, property","Diversified","M","Malaysia","//specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743",14.8
"97",97,97,"Emmanuel Besnier","Besnier","emmanuel-besnier","emmanuel-besnier",14700,47,"cheese","Food and Beverage","M","France",NA,14.7
"98",98,98,"Shiv Nadar","Nadar","shiv-nadar","shiv-nadar",14600,72,"software services","Technology","M","India","//specials-images.forbesimg.com/imageserve/37d84982997cb979720fb6f28fa88067/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=111&cropY2=855",14.6
"99",99,99,"Viktor Vekselberg","Vekselberg","viktor-vekselberg","viktor-vekselberg",14400,60,"metals, energy","Energy","M","Russia","//specials-images.forbesimg.com/imageserve/5a80c89231358e4955ad2ca8/416x416.jpg?background=000000&cropX1=752&cropX2=3164&cropY1=5&cropY2=2416",14.4
