"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"541",541,527,"Michael Pieper","Pieper","michael-pieper","michael-pieper",4100,72,"kitchen appliances","Manufacturing","M","Switzerland","//specials-images.forbesimg.com/imageserve/82baa7f5ff8103ce920683e17948b55c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762",4.1
"542",542,527,"Thomas Pritzker","Pritzker","thomas-pritzker","thomas-pritzker",4100,67,"hotels, investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/7dd7043c48edb3bd30804e026ddab444/416x416.jpg?background=000000&cropX1=142&cropX2=743&cropY1=308&cropY2=909",4.1
"543",543,527,"Julian Robertson, Jr.","Robertson","julian-robertson-jr","julian-robertson-jr",4100,85,"hedge funds","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/59d7ee3131358e542c036e4e/416x416.jpg?background=000000&cropX1=108&cropX2=651&cropY1=109&cropY2=652",4.1
"544",544,527,"Renzo Rosso","Rosso","renzo-rosso","renzo-rosso",4100,62,"fashion","Fashion & Retail","M","Italy","//specials-images.forbesimg.com/imageserve/5a7f9efb31358e4955ad1eb9/416x416.jpg?background=000000&cropX1=114&cropX2=1523&cropY1=57&cropY2=1466",4.1
"545",545,527,"Hussain Sajwani","Sajwani","hussain-sajwani","hussain-sajwani",4100,65,"real estate","Real Estate","M","United Arab Emirates","//specials-images.forbesimg.com/imageserve/56d06a93e4b0c144a7f64a47/416x416.jpg?background=000000&cropX1=10&cropX2=744&cropY1=39&cropY2=774",4.1
"546",546,527,"Yasumitsu Shigeta","Shigeta","yasumitsu-shigeta","yasumitsu-shigeta",4100,53,"mobile phone retailer","Telecom","M","Japan","//specials-images.forbesimg.com/imageserve/89fccd8cba4cecdd43740e7cc80b78ed/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=0&cropY2=741",4.1
"547",547,527,"Evan Spiegel","Spiegel","evan-spiegel","evan-spiegel",4100,27,"Snapchat","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59162afb31358e03e5590bd9/416x416.jpg?background=000000&cropX1=1011&cropX2=4726&cropY1=32&cropY2=3744",4.1
"548",548,527,"Wang Xing","Wang","wang-xing","wang-xing",4100,45,"e-commerce","Technology","M","China","//specials-images.forbesimg.com/imageserve/5a7d03fba7ea431690130d98/416x416.jpg?background=000000&cropX1=101&cropX2=561&cropY1=90&cropY2=549",4.1
"549",549,527,"Kelcy Warren","Warren","kelcy-warren","kelcy-warren",4100,62,"pipelines","Energy","M","United States","//specials-images.forbesimg.com/imageserve/59d7eab04bbe6f37dda020cf/416x416.jpg?background=000000&cropX1=2496&cropX2=3723&cropY1=163&cropY2=1389",4.1
"550",550,550,"Ben Ashkenazy","Ashkenazy","ben-ashkenazy","no-pic",4000,48,"real estate","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/59ef795e4bbe6f37dda1056d/416x416.jpg?background=000000&cropX1=1613&cropX2=3298&cropY1=1291&cropY2=2975",4
"551",551,550,"Ursula Bechtolsheimer-Kipp","Bechtolsheimer-Kipp","ursula-bechtolsheimer-kipp","no-pic-female",4000,500,"retail","Real Estate","F","Germany","//specials-images.forbesimg.com/imageserve/5a7e5aff31358e4955ad13b7/416x416.jpg?background=000000&cropX1=18&cropX2=775&cropY1=120&cropY2=877",4
"552",552,550,"Otto Philipp Braun","Braun","otto-philipp-braun","otto-philipp-braun",4000,40,"medical technology","Healthcare","M","Germany","//specials-images.forbesimg.com/imageserve/5a68e7774bbe6f2652f37a75/416x416.jpg?background=000000&cropX1=165&cropX2=813&cropY1=30&cropY2=679",4
"553",553,550,"Che Jianxing","Che","che-jianxing","che-jianxing",4000,51,"furniture retailing","Fashion & Retail","M","China","//specials-images.forbesimg.com/imageserve/589ce0f74bbe6f0e55866685/416x416.jpg?background=000000&cropX1=72&cropX2=744&cropY1=0&cropY2=672",4
"554",554,550,"Dagmar Dolby","Dolby","dagmar-dolby","dagmar-dolby",4000,76,"Dolby Laboratories","Technology","F","United States","//specials-images.forbesimg.com/imageserve/59d7fbac4bbe6f37dda021cd/416x416.jpg?background=000000&cropX1=0&cropX2=838&cropY1=669&cropY2=1506",4
"555",555,550,"Traudl Engelhorn","Engelhorn","traudl-engelhorn","no-pic-female",4000,91,"pharmaceuticals, medical equipment","Healthcare","F","Germany","//specials-images.forbesimg.com/imageserve/5a7e56414bbe6f2652f529b3/416x416.jpg?background=000000&cropX1=116&cropX2=1016&cropY1=250&cropY2=1150",4
"556",556,550,"Dan Friedkin","Friedkin","dan-friedkin","dan-friedkin",4000,53,"Toyota dealerships","Automotive","M","United States","//specials-images.forbesimg.com/imageserve/5a8dd78231358e4955adfbaa/416x416.jpg?background=000000&cropX1=0&cropX2=2168&cropY1=356&cropY2=2525",4
"557",557,550,"Sergei Galitsky","Galitsky","sergei-galitsky","sergei-galitsky",4000,50,"retail","Fashion & Retail","M","Russia","//specials-images.forbesimg.com/imageserve/5a80b5184bbe6f2652f54002/416x416.jpg?background=000000&cropX1=1003&cropX2=2987&cropY1=9&cropY2=1994",4
"558",558,550,"Huang Rulun","Huang","huang-rulun","huang-rulun",4000,66,"real estate","Real Estate","M","China","//specials-images.forbesimg.com/imageserve/b8f39daf7c442a93e854518a273084a2/416x416.jpg?background=000000&cropX1=69&cropX2=716&cropY1=142&cropY2=790",4
"559",559,550,"Erman Ilicak","Ilicak","erman-ilicak","erman-ilicak",4000,50,"construction","Construction & Engineering","M","Turkey","//specials-images.forbesimg.com/imageserve/58b73d2f4bbe6f0e5587d21e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775",4
"560",560,550,"Ronald Lauder","Lauder","ronald-lauder","ronald-lauder",4000,74,"Estee Lauder","Fashion & Retail","M","United States","//specials-images.forbesimg.com/imageserve/59dbce3ba7ea436b47b39bc9/416x416.jpg?background=000000&cropX1=1034&cropX2=2203&cropY1=148&cropY2=1317",4
"561",561,550,"Michel Leclercq","Leclercq","michel-leclercq","no-pic",4000,78,"sporting goods","Fashion & Retail","M","France",NA,4
"562",562,550,"Michael Moritz","Moritz","michael-moritz","michael-moritz",4000,63,"venture capital","Technology","M","United States","//specials-images.forbesimg.com/imageserve/59dbd8bba7ea436b47b39d44/416x416.jpg?background=000000&cropX1=1200&cropX2=3680&cropY1=80&cropY2=2559",4
"563",563,550,"Issad Rebrab","Rebrab","issad-rebrab","issad-rebrab",4000,74,"food","Food and Beverage","M","Algeria","//specials-images.forbesimg.com/imageserve/5a7a210fa7ea43169012d507/416x416.jpg?background=000000&cropX1=523&cropX2=2140&cropY1=10&cropY2=1626",4
"564",564,550,"Naguib Sawiris","Sawiris","naguib-sawiris","naguib-sawiris",4000,63,"telecom","Telecom","M","Egypt","//specials-images.forbesimg.com/imageserve/5a7dddd44bbe6f2652f51ec1/416x416.jpg?background=000000&cropX1=5&cropX2=2447&cropY1=21&cropY2=2464",4
"565",565,550,"Richard Schulze","Schulze","richard-schulze","richard-schulze",4000,77,"Best Buy","Fashion & Retail","M","United States","http://specials-images.forbesimg.com/imageserve/1423046948c12a11b7b90939845786aa/416x416.jpg?background=000000&cropX1=245&cropX2=1029&cropY1=108&cropY2=892",4
